"collected_at","product_key","segment","offer_key","store","brand","product","color_raw","color_normalized","package_kg","package_group","regular_price","promo_price","analysis_price","unit_price_per_kg","currency","in_stock","sku","article","variant_id","url"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","Бежевая","Бежевый","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000506444","","121465","https://farba.md/dekart--jemal-pph-115-bezhevaja28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","Белая","Белый","2.8","large","124.95","120.00","124.95","44.625","PRB","True","ЦБ000496256","","121467","https://farba.md/dekart--jemal-pph-115-belaja-gljancevaja-28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","вишневая","Вишневый","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496261","","121470","https://farba.md/dekart--jemal-pph-115-vishnevaja-28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","голубая","Голубой","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496266","","121472","https://farba.md/dekart--jemal-pph-115-golubaja-28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","желто-коричневая","Желто-коричневый","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496275","","121477","https://farba.md/dekart--jemal-pph-115-zhelto-korichnevaja-28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","желтая","Желтый","2.8","large","113.40","108.90","113.40","40.5","PRB","True","ЦБ000496269","","121474","https://farba.md/dekart--jemal-pph-115-zheltaja-28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","зеленая","Зелёный","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496280","","121490","https://farba.md/dekart--jemal-pph-115-zelenaja-28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","коричневая","Коричневый","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496284","","121483","https://farba.md/dekart--jemal-pph-115-korichnevaja-28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","красно-коричневая","Красно-коричневый","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496288","","121488","https://farba.md/dekart--jemal-pph-115-krasno-korichnevaja-28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","красная","Красный","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496286","","121485","https://farba.md/dekart--jemal-pph-115-krasnaja-28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","светло-зеленая","Светло-зелёный","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496292","","121490","https://farba.md/dekart--jemal-pph-115-svetlo-zelenaja-28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","светло-серая","Светло-серый","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496790","","121492","https://farba.md/dekart--jemal-pph-115-svetlo-seraja28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","серая","Серый","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496294","","121501","https://farba.md/dekart--jemal-pph-115-seraja-28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","синяя","Синий","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496296","","121496","https://farba.md/dekart--jemal-pph-115-sinjaja-28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","темно-зеленая","Темно-зелёный","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496298","","121498","https://farba.md/dekart--jemal-pph-115-temno-zelenaja-28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","темно-серая","Темно-серый","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496300","","121500","https://farba.md/dekart--jemal-pph-115-temno-seraja-28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","черная","Черный","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496302","","121502","https://farba.md/dekart--jemal-pph-115-chernaja28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","шоколадная","Шоколадный","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496304","","121505","https://farba.md/dekart--jemal-pph-115-shokoladnaja28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","ярко-голубая","Ярко-голубой","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496306","","121507","https://farba.md/dekart--jemal-pph-115-jarko-golubaja-28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","ярко-зеленая","Ярко-зелёный","2.8","large","102.90","98.80","102.90","36.75","PRB","True","ЦБ000496308","","121509","https://farba.md/dekart--jemal-pph-115-jarko-zelenaja-28-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","Бежевая","Бежевый","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000506443","","121466","https://farba.md/dekart--jemal-pph-115-bezhevaja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","Белая","Белый","0.9","small","40.90","39.30","40.90","45.4444","PRB","True","ЦБ000496255","","121468","https://farba.md/dekart--jemal-pph-115-belaja-gljancevaja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","вишневая","Вишневый","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496257","","121471","https://farba.md/dekart--jemal-pph-115-vishnevaja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","голубая","Голубой","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496262","","121473","https://farba.md/dekart--jemal-pph-115-golubaja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","желто-коричневая","Желто-коричневый","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496271","","121511","https://farba.md/dekart--jemal-pph-115-zhelto-korichnevaja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","желтая","Желтый","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496268","","121475","https://farba.md/dekart--jemal-pph-115-zheltaja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","зеленая","Зелёный","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496277","","121490","https://farba.md/dekart--jemal-pph-115-zelenaja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","коричневая","Коричневый","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496281","","121484","https://farba.md/dekart--jemal-pph-115-korichnevaja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","красно-коричневая","Красно-коричневый","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496287","","121489","https://farba.md/dekart--jemal-pph-115-krasno-korichnevaja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","красная","Красный","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496285","","121486","https://farba.md/dekart--jemal-pph-115-krasnaja-09-up6sht.html"
