"product_key","segment","color","package_group","rank","offer_key","store","brand","package_kg","regular_price","promo_price","unit_price_per_kg","in_stock","url"
"pf115_economy","economy","Бежевый","large","1","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-bezhevaja28-up6sht.html"
"pf115_economy","economy","Бежевый","large","2","mirremonta_dekart","mirremonta.md","DekArt","2.8","126",,"45","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Белый","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","120.05",,"42.875","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10873"
"pf115_economy","economy","Белый","large","2","farba_dekart","farba.md","DekArt","2.8","124.95","120.00","44.625","True","https://farba.md/dekart--jemal-pph-115-belaja-gljancevaja-28-up6sht.html"
"pf115_economy","economy","Белый","large","3","mirremonta_dekart","mirremonta.md","DekArt","2.8","132",,"47.1429","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Бирюзовый","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10880"
"pf115_economy","economy","Вишневый","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10885"
"pf115_economy","economy","Вишневый","large","2","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-vishnevaja-28-up6sht.html"
"pf115_economy","economy","Вишневый","large","3","mirremonta_dekart","mirremonta.md","DekArt","2.8","132",,"47.1429","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Голубой","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10890"
"pf115_economy","economy","Голубой","large","2","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-golubaja-28-up6sht.html"
"pf115_economy","economy","Голубой","large","3","mirremonta_dekart","mirremonta.md","DekArt","2.8","135",,"48.2143","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Желто-коричневый","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10961"
"pf115_economy","economy","Желто-коричневый","large","2","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-zhelto-korichnevaja-28-up6sht.html"
"pf115_economy","economy","Желто-коричневый","large","3","mirremonta_dekart","mirremonta.md","DekArt","2.8","129",,"46.0714","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Желтый","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","109.5",,"39.1071","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10959"
"pf115_economy","economy","Желтый","large","2","farba_dekart","farba.md","DekArt","2.8","113.40","108.90","40.5","True","https://farba.md/dekart--jemal-pph-115-zheltaja-28-up6sht.html"
"pf115_economy","economy","Желтый","large","3","mirremonta_dekart","mirremonta.md","DekArt","2.8","114",,"40.7143","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Зелёный","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10973"
"pf115_economy","economy","Зелёный","large","2","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-zelenaja-28-up6sht.html"
"pf115_economy","economy","Зелёный","large","3","mirremonta_dekart","mirremonta.md","DekArt","2.8","135",,"48.2143","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Изумрудный","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10975"
"pf115_economy","economy","Коричневый","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11027"
"pf115_economy","economy","Коричневый","large","2","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-korichnevaja-28-up6sht.html"
"pf115_economy","economy","Коричневый","large","3","mirremonta_dekart","mirremonta.md","DekArt","2.8","128",,"45.7143","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Красно-коричневый","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11131"
"pf115_economy","economy","Красно-коричневый","large","2","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-krasno-korichnevaja-28-up6sht.html"
"pf115_economy","economy","Красно-коричневый","large","3","mirremonta_dekart","mirremonta.md","DekArt","2.8","128",,"45.7143","False","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Красный","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11129"
"pf115_economy","economy","Красный","large","2","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-krasnaja-28-up6sht.html"
"pf115_economy","economy","Красный","large","3","mirremonta_dekart","mirremonta.md","DekArt","2.8","139",,"49.6429","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Светло-голубой","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11208"
"pf115_economy","economy","Светло-зелёный","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11213"
"pf115_economy","economy","Светло-зелёный","large","2","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-svetlo-zelenaja-28-up6sht.html"
"pf115_economy","economy","Светло-зелёный","large","3","mirremonta_dekart","mirremonta.md","DekArt","2.8","133",,"47.5","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Светло-серый","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11218"
"pf115_economy","economy","Светло-серый","large","2","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-svetlo-seraja28-up6sht.html"
"pf115_economy","economy","Светло-серый","large","3","mirremonta_dekart","mirremonta.md","DekArt","2.8","133",,"47.5","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Серый","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11222"
"pf115_economy","economy","Серый","large","2","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-seraja-28-up6sht.html"
"pf115_economy","economy","Серый","large","3","mirremonta_dekart","mirremonta.md","DekArt","2.8","129",,"46.0714","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Синий","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11232"
"pf115_economy","economy","Синий","large","2","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-sinjaja-28-up6sht.html"
"pf115_economy","economy","Синий","large","3","mirremonta_dekart","mirremonta.md","DekArt","2.8","135",,"48.2143","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Темно-зелёный","large","1","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-temno-zelenaja-28-up6sht.html"
"pf115_economy","economy","Темно-зелёный","large","2","mirremonta_dekart","mirremonta.md","DekArt","2.8","135",,"48.2143","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Темно-серый","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11300"
"pf115_economy","economy","Темно-серый","large","2","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-temno-seraja-28-up6sht.html"
"pf115_economy","economy","Темно-серый","large","3","mirremonta_dekart","mirremonta.md","DekArt","2.8","135",,"48.2143","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Черный","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11321"
"pf115_economy","economy","Черный","large","2","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-chernaja28-up6sht.html"
"pf115_economy","economy","Черный","large","3","mirremonta_dekart","mirremonta.md","DekArt","2.8","120",,"42.8571","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Шоколадный","large","1","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-shokoladnaja28-up6sht.html"
"pf115_economy","economy","Шоколадный","large","2","mirremonta_dekart","mirremonta.md","DekArt","2.8","130",,"46.4286","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Ярко-голубой","large","1","lursan_fazenda","lursan.com","Fazenda","2.8","99.5",,"35.5357","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11360"
"pf115_economy","economy","Ярко-голубой","large","2","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-jarko-golubaja-28-up6sht.html"
"pf115_economy","economy","Ярко-голубой","large","3","mirremonta_dekart","mirremonta.md","DekArt","2.8","135",,"48.2143","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Ярко-зелёный","large","1","farba_dekart","farba.md","DekArt","2.8","102.90","98.80","36.75","True","https://farba.md/dekart--jemal-pph-115-jarko-zelenaja-28-up6sht.html"
"pf115_economy","economy","Ярко-зелёный","large","2","mirremonta_dekart","mirremonta.md","DekArt","2.8","138",,"49.2857","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Бежевый","small","1","farba_dekart","farba.md","DekArt","0.9","39.90","38.30","44.3333","True","https://farba.md/dekart--jemal-pph-115-bezhevaja-09-up6sht.html"
"pf115_economy","economy","Бежевый","small","2","mirremonta_dekart","mirremonta.md","DekArt","0.9","46",,"51.1111","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Белый","small","1","farba_dekart","farba.md","DekArt","0.9","40.90","39.30","45.4444","True","https://farba.md/dekart--jemal-pph-115-belaja-gljancevaja-09-up6sht.html"
"pf115_economy","economy","Белый","small","2","lursan_fazenda","lursan.com","Fazenda","0.9","41",,"45.5556","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10872"
"pf115_economy","economy","Белый","small","3","mirremonta_dekart","mirremonta.md","DekArt","0.9","47",,"52.2222","True","https://mirremonta.md/catalog/35644"
